Country,Risk Level,Description,Last Updated
Afghanistan,do-not-travel,"
Avoid all travel",2025-05-21 13:56:22
Albania,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Algeria,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-05-21 13:56:22
American Samoa,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Andorra,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Angola,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-05-21 13:56:22
Anguilla,normal-precautions,"
Take normal security precautions",2025-06-03 10:02:46
Antarctica,increased-caution,"
Exercise a high degree of caution",2025-06-13 11:03:13
Antigua and Barbuda,normal-precautions,"
Take normal security precautions",2025-06-03 10:02:46
Argentina,normal-precautions,"
Take normal security precautions (with regional advisories)",2025-06-13 17:44:27
Armenia,normal-precautions,"
Take normal security precautions (with regional advisories)",2025-05-21 13:56:22
Aruba,normal-precautions,"
Take normal security precautions",2025-06-03 10:02:46
Australia,normal-precautions,"
Take normal security precautions",2025-06-16 08:21:28
Austria,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Azerbaijan,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-05-21 13:56:22
Azores,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Bahamas,increased-caution,"
Exercise a high degree of caution",2025-06-03 10:02:46
Bahrain,increased-caution,"
Exercise a high degree of caution",2025-06-24 12:59:25
Bangladesh,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-23 15:08:05
Barbados,normal-precautions,"
Take normal security precautions",2025-06-05 14:29:33
Belarus,do-not-travel,"
Avoid all travel",2025-05-21 13:56:22
Belgium,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Belize,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-06 13:55:31
Benin,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-05-21 13:56:22
Bermuda,normal-precautions,"
Take normal security precautions",2025-06-03 10:02:46
Bhutan,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Bolivia,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-13 13:38:03
Bonaire,normal-precautions,"
Take normal security precautions",2025-06-23 15:08:55
Bosnia and Herzegovina,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Botswana,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Brazil,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-24 15:03:10
British Virgin Islands,normal-precautions,"
Take normal security precautions",2025-06-12 08:50:57
Brunei,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Bulgaria,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Burkina Faso,do-not-travel,"
Avoid all travel",2025-06-23 15:10:07
Burundi,reconsider-travel,"
Avoid non-essential travel (with regional advisories)",2025-06-23 13:19:47
Cabo Verde,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Cambodia,increased-caution,"
Exercise a high degree of caution",2025-06-16 16:46:15
Cameroon,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-24 08:56:38
Canary Islands,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Cayman Islands,normal-precautions,"
Take normal security precautions",2025-06-03 10:02:46
Central African Republic,do-not-travel,"
Avoid all travel",2025-06-02 12:55:47
Chad,reconsider-travel,"
Avoid non-essential travel (with regional advisories)",2025-05-21 13:56:22
Chile,increased-caution,"
Exercise a high degree of caution",2025-06-17 16:23:18
China,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Colombia,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-23 15:12:05
Comoros,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Cook Islands,normal-precautions,"
Take normal security precautions",2025-06-23 15:02:29
Costa Rica,increased-caution,"
Exercise a high degree of caution",2025-06-23 15:13:06
Côte d'Ivoire (Ivory Coast),increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-03 11:44:30
Croatia,normal-precautions,"
Take normal security precautions",2025-06-24 08:56:05
Cuba,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-23 15:14:23
Curaçao,normal-precautions,"
Take normal security precautions",2025-06-23 15:15:42
Cyprus,normal-precautions,"
Take normal security precautions (with regional advisories)",2025-05-21 13:56:22
Czechia,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Democratic Republic of Congo (Kinshasa),do-not-travel,"
Avoid all travel",2025-06-02 10:32:33
Denmark,increased-caution,"
Exercise a high degree of caution",2025-06-03 09:32:14
Djibouti,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-05-21 13:56:22
Dominica,normal-precautions,"
Take normal security precautions",2025-06-03 10:02:46
Dominican Republic,increased-caution,"
Exercise a high degree of caution",2025-06-05 14:59:46
Ecuador,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-23 15:16:35
Egypt,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-24 12:59:25
El Salvador,increased-caution,"
Exercise a high degree of caution",2025-06-19 11:56:59
Equatorial Guinea,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Eritrea,reconsider-travel,"
Avoid non-essential travel (with regional advisories)",2025-05-21 13:56:22
Estonia,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Eswatini,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Ethiopia,reconsider-travel,"
Avoid non-essential travel (with regional advisories)",2025-06-23 15:17:50
Falkland Islands,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Fiji,normal-precautions,"
Take normal security precautions",2025-06-23 15:18:39
Finland,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
France,increased-caution,"
Exercise a high degree of caution",2025-05-26 08:31:26
French Guiana,normal-precautions,"
Take normal security precautions",2025-06-23 15:19:37
French Polynesia,normal-precautions,"
Take normal security precautions",2025-06-23 15:21:43
Gabon,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
"Gambia, The",increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Georgia,normal-precautions,"
Take normal security precautions (with regional advisories)",2025-05-21 13:56:22
Germany,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Ghana,increased-caution,"
Exercise a high degree of caution",2025-06-02 09:28:58
Gibraltar,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Greece,normal-precautions,"
Take normal security precautions",2025-06-23 14:47:18
Greenland,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Grenada,normal-precautions,"
Take normal security precautions",2025-06-03 10:02:46
Guadeloupe,normal-precautions,"
Take normal security precautions",2025-06-23 15:23:01
Guam,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Guatemala,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-23 15:24:01
Guinea,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Guinea-Bissau,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-05-21 13:56:22
Guyana,increased-caution,"
Exercise a high degree of caution",2025-06-23 15:04:09
Haiti,do-not-travel,"
Avoid all travel",2025-06-03 10:02:46
Honduras,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-23 15:05:23
Hong Kong,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Hungary,normal-precautions,"
Take normal security precautions",2025-05-27 16:48:39
Iceland,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
India,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-05-21 13:56:22
Indonesia,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-05-27 12:01:51
Iran,do-not-travel,"
Avoid all travel",2025-06-22 22:10:41
Iraq,do-not-travel,"
Avoid all travel",2025-06-24 12:59:25
Ireland,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
"Israel, the West Bank and the Gaza Strip",do-not-travel,"
Avoid all travel",2025-06-22 23:10:00
Italy,increased-caution,"
Exercise a high degree of caution",2025-06-09 03:42:40
