Country,Risk Level,Description,Last Updated
Qatar,increased-caution,Exercise a high degree of caution,2025-06-22 18:57:50
Saudi Arabia,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-22 18:55:59
Syria,do-not-travel,Avoid all travel,2025-06-22 18:53:36
United Arab Emirates,increased-caution,Exercise a high degree of caution,2025-06-22 18:51:49
Yemen,do-not-travel,Avoid all travel,2025-06-22 18:40:03
Uganda,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-22 10:26:56
Panama,normal-precautions,Take normal security precautions (with regional advisories),2025-06-22 10:03:17
Iran,do-not-travel,Avoid all travel,2025-06-21 19:25:21
Kenya,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-20 15:28:16
Mexico,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-20 14:01:36
Fiji,normal-precautions,Take normal security precautions,2025-06-20 10:28:22
Myanmar,do-not-travel,Avoid all travel,2025-06-20 07:12:54
"Israel, the West Bank and the Gaza Strip",do-not-travel,Avoid all travel,2025-06-19 23:21:05
Luxembourg,normal-precautions,Take normal security precautions,2025-06-19 12:32:45
El Salvador,increased-caution,Exercise a high degree of caution,2025-06-19 11:56:59
Cuba,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-18 17:18:25
South Korea,normal-precautions,Take normal security precautions,2025-06-18 05:58:54
United States,normal-precautions,Take normal security precautions,2025-06-17 18:37:33
Chile,increased-caution,Exercise a high degree of caution,2025-06-17 16:23:18
Nigeria,reconsider-travel,Avoid non-essential travel (with regional advisories),2025-06-17 11:07:17
Peru,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-17 09:11:15
Cambodia,increased-caution,Exercise a high degree of caution,2025-06-16 16:46:15
Thailand,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-16 16:35:21
Réunion,normal-precautions,Take normal security precautions,2025-06-16 16:09:44
Mauritius,normal-precautions,Take normal security precautions,2025-06-16 16:08:15
Mayotte,increased-caution,Exercise a high degree of caution,2025-06-16 16:06:52
Madagascar,increased-caution,Exercise a high degree of caution,2025-06-16 16:03:29
Sri Lanka,increased-caution,Exercise a high degree of caution,2025-06-16 16:01:19
Costa Rica,increased-caution,Exercise a high degree of caution,2025-06-16 15:01:06
Lebanon,reconsider-travel,Avoid non-essential travel (with regional advisories),2025-06-16 09:20:04
Australia,normal-precautions,Take normal security precautions,2025-06-16 08:21:28
Oman,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-15 17:53:56
Jordan,reconsider-travel,Avoid non-essential travel (with regional advisories),2025-06-15 17:41:28
Kuwait,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-15 17:35:06
Iraq,do-not-travel,Avoid all travel,2025-06-15 17:27:32
Egypt,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-15 17:14:25
Bahrain,increased-caution,Exercise a high degree of caution,2025-06-15 17:07:56
Argentina,normal-precautions,Take normal security precautions (with regional advisories),2025-06-13 17:44:27
Colombia,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-13 14:57:37
Brazil,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-13 14:10:40
Bolivia,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-13 13:38:03
Antarctica,increased-caution,Exercise a high degree of caution,2025-06-13 11:03:13
British Virgin Islands,normal-precautions,Take normal security precautions,2025-06-12 08:50:57
Jamaica,increased-caution,Exercise a high degree of caution,2025-06-11 10:41:53
Ecuador,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-11 09:53:20
Guyana,increased-caution,Exercise a high degree of caution,2025-06-10 16:45:09
Italy,increased-caution,Exercise a high degree of caution,2025-06-09 03:42:40
Sweden,increased-caution,Exercise a high degree of caution,2025-06-09 03:37:53
Belize,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-06 13:55:31
Romania,normal-precautions,Take normal security precautions,2025-06-06 12:55:15
Philippines,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-06 08:22:01
Dominican Republic,increased-caution,Exercise a high degree of caution,2025-06-05 14:59:46
Trinidad and Tobago,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-05 14:40:04
French Guiana,normal-precautions,Take normal security precautions,2025-06-05 14:33:13
Barbados,normal-precautions,Take normal security precautions,2025-06-05 14:29:33
Venezuela,do-not-travel,Avoid all travel,2025-06-05 14:24:20
Turks and Caicos Islands,increased-caution,Exercise a high degree of caution,2025-06-05 11:11:22
Senegal,increased-caution,Exercise a high degree of caution,2025-06-04 15:35:02
Montserrat,normal-precautions,Take normal security precautions,2025-06-04 11:54:16
Ethiopia,reconsider-travel,Avoid non-essential travel (with regional advisories),2025-06-04 09:14:29
Sierra Leone,increased-caution,Exercise a high degree of caution,2025-06-03 14:21:25
Côte d'Ivoire (Ivory Coast),increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-03 11:44:30
Anguilla,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Antigua and Barbuda,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Aruba,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Bahamas,increased-caution,Exercise a high degree of caution,2025-06-03 10:02:46
Bermuda,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Bonaire,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Cayman Islands,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Curaçao,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Dominica,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Grenada,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Guadeloupe,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Guatemala,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-03 10:02:46
Haiti,do-not-travel,Avoid all travel,2025-06-03 10:02:46
Honduras,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-03 10:02:46
Martinique,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Nicaragua,increased-caution,Exercise a high degree of caution,2025-06-03 10:02:46
Puerto Rico,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Saint Kitts and Nevis,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Saint Lucia,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Saint Martin,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Saint Vincent & the Grenadines,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Saint-Barthélemy,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Sint Maarten,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Suriname,normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Virgin Islands (U.S.),normal-precautions,Take normal security precautions,2025-06-03 10:02:46
Denmark,increased-caution,Exercise a high degree of caution,2025-06-03 09:32:14
Spain,increased-caution,Exercise a high degree of caution,2025-06-03 08:57:15
Sao Tome and Principe,normal-precautions,Take normal security precautions,2025-06-02 16:58:17
Central African Republic,do-not-travel,Avoid all travel,2025-06-02 12:55:47
South Africa,increased-caution,Exercise a high degree of caution,2025-06-02 12:53:07
Malawi,increased-caution,Exercise a high degree of caution,2025-06-02 12:48:31
Burundi,reconsider-travel,Avoid non-essential travel (with regional advisories),2025-06-02 10:32:33
Democratic Republic of Congo (Kinshasa),do-not-travel,Avoid all travel,2025-06-02 10:32:33
Republic of Congo (Brazzaville),increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-02 10:32:33
Rwanda,normal-precautions,Take normal security precautions (with regional advisories),2025-06-02 10:32:33
Tanzania,increased-caution,Exercise a high degree of caution (with regional advisories),2025-06-02 10:32:33
Zambia,normal-precautions,Take normal security precautions (with regional advisories),2025-06-02 10:32:33
Ghana,increased-caution,Exercise a high degree of caution,2025-06-02 09:28:58
Burkina Faso,do-not-travel,Avoid all travel,2025-05-29 10:00:33
Hungary,normal-precautions,Take normal security precautions,2025-05-27 16:48:39
Indonesia,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-27 12:01:51
Vietnam,increased-caution,Exercise a high degree of caution,2025-05-27 11:21:30
France,increased-caution,Exercise a high degree of caution,2025-05-26 08:31:26
Türkiye,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-22 12:59:02
Malaysia,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-22 04:33:59
Cameroon,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 14:06:18
Afghanistan,do-not-travel,Avoid all travel,2025-05-21 13:56:22
Albania,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Algeria,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
American Samoa,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Andorra,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Angola,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
Armenia,normal-precautions,Take normal security precautions (with regional advisories),2025-05-21 13:56:22
Austria,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Azerbaijan,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
Azores,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Bangladesh,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
Belarus,do-not-travel,Avoid all travel,2025-05-21 13:56:22
Belgium,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Benin,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
Bhutan,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Bosnia and Herzegovina,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Botswana,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Brunei,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Bulgaria,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Cabo Verde,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Canary Islands,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Chad,reconsider-travel,Avoid non-essential travel (with regional advisories),2025-05-21 13:56:22
China,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Comoros,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Cook Islands,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Croatia,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Cyprus,normal-precautions,Take normal security precautions (with regional advisories),2025-05-21 13:56:22
Czechia,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Djibouti,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
Equatorial Guinea,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Eritrea,reconsider-travel,Avoid non-essential travel (with regional advisories),2025-05-21 13:56:22
Estonia,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Eswatini,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Falkland Islands,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Finland,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
French Polynesia,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Gabon,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
"Gambia, The",increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Georgia,normal-precautions,Take normal security precautions (with regional advisories),2025-05-21 13:56:22
Germany,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Gibraltar,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Greece,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Greenland,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Guam,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Guinea,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Guinea-Bissau,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
Hong Kong,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Iceland,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
India,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
Ireland,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Japan,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Kazakhstan,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Kiribati,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Kosovo,normal-precautions,Take normal security precautions (with regional advisories),2025-05-21 13:56:22
Kyrgyzstan,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
Laos,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
Latvia,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Lesotho,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Liberia,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Libya,do-not-travel,Avoid all travel,2025-05-21 13:56:22
Liechtenstein,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Lithuania,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
